row,strain,gene
468,Alistipes-indistinctus-YIT-12060-MAF-2,cysM
474,Alistipes-onderdonkii-DSM-19147-MAF-2,cysM
477,Alistipes-putredinis-DSM-17216-MAF-2,cysM
479,Alistipes-senegalensis-JC50-MAF-2,cysM
485,Alistipes-shahii-WAL-8301-MAF-2,cysM
488,Anaerobutyricum_hallii,cysM
495,Anaerostipes-caccae-DSM-14662-MAF-2,cysM
502,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysM
507,Bacteroides-caccae-ATCC-43185-MAF-2,cysM
513,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysM
519,Bacteroides-coprophilus-DSM-18228-MAF-2,cysM
524,Bacteroides-dorei-5-1-36-D4-MAF-2,cysM
531,Bacteroides-dorei-DSM-17855-MAF-2,cysM
538,Bacteroides-eggerthii-DSM-20697-MAF-2,cysM
544,Bacteroides-finegoldii-DSM-17565-MAF-2,cysM
551,Bacteroides-fragilis-2-1-16-MAF-2,cysM
557,Bacteroides-fragilis-3-1-12-MAF-2,cysM
564,Bacteroides-intestinalis-DSM-17393-MAF-2,cysM
570,Bacteroides-ovatus-ATCC-8483-MAF-2,cysM
577,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysM
582,Bacteroides-plebeius-DSM-17135-MAF-2,cysM
590,Bacteroides-rodentium-JCM-16496-MAF-2,cysM
596,Bacteroides-sp-3-1-19-MAF-2,cysM
602,Bacteroides-sp-9-1-42FAA-MAF-2,cysM
609,Bacteroides-sp-D2-MAF-2,cysM
616,Bacteroides-stercoris-ATCC-43183-MAF-2,cysM
621,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysM
628,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysM
635,Bacteroides-uniformis-ATCC-8492-MAF-2,cysM
641,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysM
648,Bacteroides_fragilis,cysM
654,Bacteroides_ovatus,cysM
661,Bacteroides_thetaiotaomicron,cysM
668,Bifidobacterium-adolescentis-L2-32-MAF-2,cysM
672,Bifidobacterium_adolescentis,cysM
676,Bifidobacterium_longum,cysM
680,Blautia-hansenii-DSM-20583-MAF-2,cysM
683,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysM
692,Blautia-obeum-ATCC-29174-MAF-2,cysM
697,Blautia-sp-KLE-1732-MAF-2,cysM
703,Blautia-wexlerae-DSM-19850-MAF-2,cysM
708,Butyricimonas-virosa-DSM-23226-MAF-2,cysM
709,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysM
715,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysM
718,Clostridium-scindens-ATCC-35704-MAF-2,cysM
724,Clostridium-sp-M62-1-MAF-2,cysM
728,Clostridium-spiroforme-DSM-1552-MAF-2,cysM
732,Collinsella-stercoris-DSM-13279-MAF-2,cysM
733,Collinsella_aerofaciens,cysM
734,Coprococcus-comes-ATCC-27758-MAF-2,cysM
738,Coprococcus-eutactus-ATCC-27759-MAF-2,cysM
745,Desulfovibrio_piger,cysM
750,Dorea-formicigenerans-ATCC-27755-MAF-2,cysM
753,Dorea-longicatena-DSM-13814-MAF-2,cysM
756,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysM
765,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysM
777,Escherichia_coli,cysM
784,Eubacterium-siraeum-DSM-15702-MAF-2,cysM
787,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysM
792,Eubacterium_eligens,cysM
798,Eubacterium_rectale,cysM
804,Faecalibacterium_prausnitzii,cysM
809,Granulicatella-adiacens-ATCC-49175-MAF-2,cysM
810,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysM
816,Lachnospira-eligens-ATCC-27750-MAF-2,cysM
822,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysM
825,Lactococcus-lactis-IL1403-MAF-2,cysM
833,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysM
840,Megasphaera-elsdenii-14-14-MAF-2,cysM
846,Mitsuokella-multacida-DSM-20544-MAF-2,cysM
851,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysM
856,Parabacteroides-merdae-ATCC-43184-MAF-2,cysM
861,Parabacteroides-sp-D13-MAF-2,cysM
867,Phocaeicola_vulgatus,cysM
873,Prevotella-buccalis-ATCC-35310-MAF-2,cysM
875,Prevotella-copri-DSM-18205-MAF-2,cysM
880,Roseburia-intestinalis-L1-82-MAF-2,cysM
886,Roseburia_intestinalis,cysM
892,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysM
901,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysM
906,Ruminococcus-torques-ATCC-27756-MAF-2,cysM
912,Ruminococcus_bromii,cysM
917,Streptococcus-thermophilus-LMD-9-MAF-2,cysM
921,Subdoligranulum-variabile-DSM-15176-MAF-2,cysM
925,Tyzzerella-nexilis-DSM-1787-MAF-2,cysM
931,Veillonella-sp-3-1-44-MAF-2,cysM
937,Veillonella-sp-6-1-27-MAF-2,cysM
943,Acidaminococcus-intestini-D21-MAF-2,lcd
944,Akkermansia_muciniphila,lcd
947,Alistipes-ihumii-AP11-MAF-2,lcd
948,Alistipes-indistinctus-YIT-12060-MAF-2,lcd
950,Alistipes-onderdonkii-DSM-19147-MAF-2,lcd
951,Alistipes-putredinis-DSM-17216-MAF-2,lcd
953,Alistipes-senegalensis-JC50-MAF-2,lcd
954,Alistipes-shahii-WAL-8301-MAF-2,lcd
955,Anaerobutyricum_hallii,lcd
961,Anaerostipes-caccae-DSM-14662-MAF-2,lcd
966,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcd
970,Bacteroides-caccae-ATCC-43185-MAF-2,lcd
974,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcd
979,Bacteroides-coprophilus-DSM-18228-MAF-2,lcd
981,Bacteroides-dorei-5-1-36-D4-MAF-2,lcd
984,Bacteroides-dorei-DSM-17855-MAF-2,lcd
987,Bacteroides-eggerthii-DSM-20697-MAF-2,lcd
989,Bacteroides-finegoldii-DSM-17565-MAF-2,lcd
995,Bacteroides-fragilis-2-1-16-MAF-2,lcd
999,Bacteroides-fragilis-3-1-12-MAF-2,lcd
1003,Bacteroides-intestinalis-DSM-17393-MAF-2,lcd
1006,Bacteroides-ovatus-ATCC-8483-MAF-2,lcd
1010,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcd
1012,Bacteroides-plebeius-DSM-17135-MAF-2,lcd
1016,Bacteroides-rodentium-JCM-16496-MAF-2,lcd
1018,Bacteroides-sp-3-1-19-MAF-2,lcd
1021,Bacteroides-sp-9-1-42FAA-MAF-2,lcd
1024,Bacteroides-sp-D2-MAF-2,lcd
1028,Bacteroides-stercoris-ATCC-43183-MAF-2,lcd
1031,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcd
1035,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcd
1039,Bacteroides-uniformis-ATCC-8492-MAF-2,lcd
1042,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcd
1045,Bacteroides_fragilis,lcd
1049,Bacteroides_ovatus,lcd
1053,Bacteroides_thetaiotaomicron,lcd
1057,Bifidobacterium-adolescentis-L2-32-MAF-2,lcd
1059,Bifidobacterium_adolescentis,lcd
1061,Bifidobacterium_longum,lcd
1063,Blautia-hansenii-DSM-20583-MAF-2,lcd
1067,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcd
1071,Blautia-obeum-ATCC-29174-MAF-2,lcd
1074,Blautia-sp-KLE-1732-MAF-2,lcd
1077,Blautia-wexlerae-DSM-19850-MAF-2,lcd
1079,Butyricimonas-virosa-DSM-23226-MAF-2,lcd
1082,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcd
1085,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcd
1087,Clostridium-scindens-ATCC-35704-MAF-2,lcd
1091,Clostridium-sp-M62-1-MAF-2,lcd
1093,Clostridium-spiroforme-DSM-1552-MAF-2,lcd
1096,Collinsella-stercoris-DSM-13279-MAF-2,lcd
1101,Collinsella_aerofaciens,lcd
1103,Coprococcus-comes-ATCC-27758-MAF-2,lcd
1106,Coprococcus-eutactus-ATCC-27759-MAF-2,lcd
1108,Desulfovibrio_piger,lcd
1109,Dorea-formicigenerans-ATCC-27755-MAF-2,lcd
1112,Dorea-longicatena-DSM-13814-MAF-2,lcd
1117,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcd
1123,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcd
1127,Escherichia_coli,lcd
1132,Eubacterium-siraeum-DSM-15702-MAF-2,lcd
1134,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcd
1138,Eubacterium_eligens,lcd
1141,Eubacterium_rectale,lcd
1144,Faecalibacterium_prausnitzii,lcd
1149,Granulicatella-adiacens-ATCC-49175-MAF-2,lcd
1152,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcd
1155,Lachnospira-eligens-ATCC-27750-MAF-2,lcd
1158,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcd
1161,Lactococcus-lactis-IL1403-MAF-2,lcd
1163,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcd
1164,Megasphaera-elsdenii-14-14-MAF-2,lcd
1168,Mitsuokella-multacida-DSM-20544-MAF-2,lcd
1172,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcd
1175,Parabacteroides-merdae-ATCC-43184-MAF-2,lcd
1178,Parabacteroides-sp-D13-MAF-2,lcd
1181,Phocaeicola_vulgatus,lcd
1184,Prevotella-buccalis-ATCC-35310-MAF-2,lcd
1187,Prevotella-copri-DSM-18205-MAF-2,lcd
1189,Roseburia-intestinalis-L1-82-MAF-2,lcd
1194,Roseburia_intestinalis,lcd
1199,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcd
1204,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcd
1206,Ruminococcus-torques-ATCC-27756-MAF-2,lcd
1208,Ruminococcus_bromii,lcd
1211,Streptococcus-thermophilus-LMD-9-MAF-2,lcd
1215,Subdoligranulum-variabile-DSM-15176-MAF-2,lcd
1218,Tyzzerella-nexilis-DSM-1787-MAF-2,lcd
1222,Veillonella-sp-3-1-44-MAF-2,lcd
1224,Veillonella-sp-6-1-27-MAF-2,lcd
1226,Acidaminococcus-intestini-D21-MAF-2,malY
1237,Akkermansia_muciniphila,malY
1246,Alistipes-ihumii-AP11-MAF-2,malY
1251,Alistipes-indistinctus-YIT-12060-MAF-2,malY
1256,Alistipes-onderdonkii-DSM-19147-MAF-2,malY
1262,Alistipes-putredinis-DSM-17216-MAF-2,malY
1266,Alistipes-senegalensis-JC50-MAF-2,malY
1272,Alistipes-shahii-WAL-8301-MAF-2,malY
1277,Anaerobutyricum_hallii,malY
1285,Anaerostipes-caccae-DSM-14662-MAF-2,malY
1292,Anaerotruncus-colihominis-DSM-17241-MAF-2,malY
1300,Bacteroides-caccae-ATCC-43185-MAF-2,malY
1310,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malY
1321,Bacteroides-coprophilus-DSM-18228-MAF-2,malY
1330,Bacteroides-dorei-5-1-36-D4-MAF-2,malY
1341,Bacteroides-dorei-DSM-17855-MAF-2,malY
1353,Bacteroides-eggerthii-DSM-20697-MAF-2,malY
1362,Bacteroides-finegoldii-DSM-17565-MAF-2,malY
1371,Bacteroides-fragilis-2-1-16-MAF-2,malY
1381,Bacteroides-fragilis-3-1-12-MAF-2,malY
1392,Bacteroides-intestinalis-DSM-17393-MAF-2,malY
1401,Bacteroides-ovatus-ATCC-8483-MAF-2,malY
1415,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malY
1422,Bacteroides-plebeius-DSM-17135-MAF-2,malY
1432,Bacteroides-rodentium-JCM-16496-MAF-2,malY
1442,Bacteroides-sp-3-1-19-MAF-2,malY
1455,Bacteroides-sp-9-1-42FAA-MAF-2,malY
1466,Bacteroides-sp-D2-MAF-2,malY
1479,Bacteroides-stercoris-ATCC-43183-MAF-2,malY
1488,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malY
1500,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malY
1512,Bacteroides-uniformis-ATCC-8492-MAF-2,malY
1523,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malY
1536,Bacteroides_fragilis,malY
1546,Bacteroides_ovatus,malY
1560,Bacteroides_thetaiotaomicron,malY
1572,Bifidobacterium-adolescentis-L2-32-MAF-2,malY
1584,Bifidobacterium_adolescentis,malY
1595,Bifidobacterium_longum,malY
1608,Blautia-hansenii-DSM-20583-MAF-2,malY
1617,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malY
1638,Blautia-obeum-ATCC-29174-MAF-2,malY
1645,Blautia-sp-KLE-1732-MAF-2,malY
1652,Blautia-wexlerae-DSM-19850-MAF-2,malY
1658,Butyricimonas-virosa-DSM-23226-MAF-2,malY
1667,Butyrivibrio-crossotus-DSM-2876-MAF-2,malY
1674,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malY
1681,Clostridium-scindens-ATCC-35704-MAF-2,malY
1690,Clostridium-sp-M62-1-MAF-2,malY
1700,Clostridium-spiroforme-DSM-1552-MAF-2,malY
1708,Collinsella-stercoris-DSM-13279-MAF-2,malY
1714,Collinsella_aerofaciens,malY
1724,Coprococcus-comes-ATCC-27758-MAF-2,malY
1736,Coprococcus-eutactus-ATCC-27759-MAF-2,malY
1742,Desulfovibrio_piger,malY
1751,Dorea-formicigenerans-ATCC-27755-MAF-2,malY
1761,Dorea-longicatena-DSM-13814-MAF-2,malY
1775,Enterocloster-asparagiformis-DSM-15981-MAF-2,malY
1799,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malY
1817,Escherichia_coli,malY
1825,Eubacterium-siraeum-DSM-15702-MAF-2,malY
1829,Eubacterium-ventriosum-ATCC-27560-MAF-2,malY
1835,Eubacterium_eligens,malY
1845,Eubacterium_rectale,malY
1852,Faecalibacterium_prausnitzii,malY
1856,Granulicatella-adiacens-ATCC-49175-MAF-2,malY
1862,Intestinibacter-bartlettii-DSM-16795-MAF-2,malY
1879,Lachnospira-eligens-ATCC-27750-MAF-2,malY
1889,Lactobacillus-ruminis-ATCC-25644-MAF-2,malY
1898,Lactococcus-lactis-IL1403-MAF-2,malY
1903,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malY
1910,Megasphaera-elsdenii-14-14-MAF-2,malY
1926,Mitsuokella-multacida-DSM-20544-MAF-2,malY
1933,Parabacteroides-johnsonii-DSM-18315-MAF-2,malY
1944,Parabacteroides-merdae-ATCC-43184-MAF-2,malY
1955,Parabacteroides-sp-D13-MAF-2,malY
1967,Phocaeicola_vulgatus,malY
1978,Prevotella-buccalis-ATCC-35310-MAF-2,malY
1984,Prevotella-copri-DSM-18205-MAF-2,malY
1991,Roseburia-intestinalis-L1-82-MAF-2,malY
2003,Roseburia_intestinalis,malY
2015,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malY
2027,Ruminococcus-lactaris-ATCC-29176-MAF-2,malY
2035,Ruminococcus-torques-ATCC-27756-MAF-2,malY
2043,Ruminococcus_bromii,malY
2048,Streptococcus-thermophilus-LMD-9-MAF-2,malY
2056,Subdoligranulum-variabile-DSM-15176-MAF-2,malY
2064,Tyzzerella-nexilis-DSM-1787-MAF-2,malY
2072,Veillonella-sp-3-1-44-MAF-2,malY
2081,Veillonella-sp-6-1-27-MAF-2,malY
2090,Acidaminococcus-intestini-D21-MAF-2,metC
2096,Akkermansia_muciniphila,metC
2102,Alistipes-ihumii-AP11-MAF-2,metC
2105,Alistipes-indistinctus-YIT-12060-MAF-2,metC
2109,Alistipes-onderdonkii-DSM-19147-MAF-2,metC
2112,Alistipes-putredinis-DSM-17216-MAF-2,metC
2115,Alistipes-senegalensis-JC50-MAF-2,metC
2120,Alistipes-shahii-WAL-8301-MAF-2,metC
2123,Anaerobutyricum_hallii,metC
2131,Anaerostipes-caccae-DSM-14662-MAF-2,metC
2137,Anaerotruncus-colihominis-DSM-17241-MAF-2,metC
2145,Bacteroides-caccae-ATCC-43185-MAF-2,metC
2149,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metC
2153,Bacteroides-coprophilus-DSM-18228-MAF-2,metC
2158,Bacteroides-dorei-5-1-36-D4-MAF-2,metC
2162,Bacteroides-dorei-DSM-17855-MAF-2,metC
2166,Bacteroides-eggerthii-DSM-20697-MAF-2,metC
2170,Bacteroides-finegoldii-DSM-17565-MAF-2,metC
2174,Bacteroides-fragilis-2-1-16-MAF-2,metC
2181,Bacteroides-fragilis-3-1-12-MAF-2,metC
2186,Bacteroides-intestinalis-DSM-17393-MAF-2,metC
2190,Bacteroides-ovatus-ATCC-8483-MAF-2,metC
2195,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metC
2204,Bacteroides-plebeius-DSM-17135-MAF-2,metC
2208,Bacteroides-rodentium-JCM-16496-MAF-2,metC
2212,Bacteroides-sp-3-1-19-MAF-2,metC
2216,Bacteroides-sp-9-1-42FAA-MAF-2,metC
2220,Bacteroides-sp-D2-MAF-2,metC
2225,Bacteroides-stercoris-ATCC-43183-MAF-2,metC
2229,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metC
2234,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metC
2239,Bacteroides-uniformis-ATCC-8492-MAF-2,metC
2243,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metC
2247,Bacteroides_fragilis,metC
2254,Bacteroides_ovatus,metC
2259,Bacteroides_thetaiotaomicron,metC
2264,Bifidobacterium-adolescentis-L2-32-MAF-2,metC
2271,Bifidobacterium_adolescentis,metC
2278,Bifidobacterium_longum,metC
2285,Blautia-hansenii-DSM-20583-MAF-2,metC
2288,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metC
2294,Blautia-obeum-ATCC-29174-MAF-2,metC
2301,Blautia-sp-KLE-1732-MAF-2,metC
2308,Blautia-wexlerae-DSM-19850-MAF-2,metC
2315,Butyricimonas-virosa-DSM-23226-MAF-2,metC
2317,Butyrivibrio-crossotus-DSM-2876-MAF-2,metC
2323,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metC
2331,Clostridium-scindens-ATCC-35704-MAF-2,metC
2338,Clostridium-sp-M62-1-MAF-2,metC
2341,Clostridium-spiroforme-DSM-1552-MAF-2,metC
2345,Collinsella-stercoris-DSM-13279-MAF-2,metC
2351,Collinsella_aerofaciens,metC
2360,Coprococcus-comes-ATCC-27758-MAF-2,metC
2365,Coprococcus-eutactus-ATCC-27759-MAF-2,metC
2371,Desulfovibrio_piger,metC
2373,Dorea-formicigenerans-ATCC-27755-MAF-2,metC
2380,Dorea-longicatena-DSM-13814-MAF-2,metC
2388,Enterocloster-asparagiformis-DSM-15981-MAF-2,metC
2397,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metC
2405,Escherichia_coli,metC
2413,Eubacterium-siraeum-DSM-15702-MAF-2,metC
2420,Eubacterium-ventriosum-ATCC-27560-MAF-2,metC
2425,Eubacterium_eligens,metC
2434,Eubacterium_rectale,metC
2444,Faecalibacterium_prausnitzii,metC
2452,Granulicatella-adiacens-ATCC-49175-MAF-2,metC
2453,Intestinibacter-bartlettii-DSM-16795-MAF-2,metC
2462,Lachnospira-eligens-ATCC-27750-MAF-2,metC
2471,Lactobacillus-ruminis-ATCC-25644-MAF-2,metC
2474,Lactococcus-lactis-IL1403-MAF-2,metC
2479,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metC
2485,Megasphaera-elsdenii-14-14-MAF-2,metC
2490,Mitsuokella-multacida-DSM-20544-MAF-2,metC
2496,Parabacteroides-johnsonii-DSM-18315-MAF-2,metC
2501,Parabacteroides-merdae-ATCC-43184-MAF-2,metC
2505,Parabacteroides-sp-D13-MAF-2,metC
2509,Phocaeicola_vulgatus,metC
2513,Prevotella-buccalis-ATCC-35310-MAF-2,metC
2516,Prevotella-copri-DSM-18205-MAF-2,metC
2522,Roseburia-intestinalis-L1-82-MAF-2,metC
2534,Roseburia_intestinalis,metC
2546,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metC
2554,Ruminococcus-lactaris-ATCC-29176-MAF-2,metC
2560,Ruminococcus-torques-ATCC-27756-MAF-2,metC
2566,Ruminococcus_bromii,metC
2574,Streptococcus-thermophilus-LMD-9-MAF-2,metC
2577,Subdoligranulum-variabile-DSM-15176-MAF-2,metC
2582,Tyzzerella-nexilis-DSM-1787-MAF-2,metC
2589,Veillonella-sp-3-1-44-MAF-2,metC
2593,Veillonella-sp-6-1-27-MAF-2,metC
2597,Akkermansia_muciniphila,tnaA
2598,Alistipes-indistinctus-YIT-12060-MAF-2,tnaA
2599,Alistipes-onderdonkii-DSM-19147-MAF-2,tnaA
2600,Alistipes-putredinis-DSM-17216-MAF-2,tnaA
2602,Alistipes-shahii-WAL-8301-MAF-2,tnaA
2603,Anaerotruncus-colihominis-DSM-17241-MAF-2,tnaA
2605,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,tnaA
2606,Bacteroides-eggerthii-DSM-20697-MAF-2,tnaA
2607,Bacteroides-intestinalis-DSM-17393-MAF-2,tnaA
2608,Bacteroides-ovatus-ATCC-8483-MAF-2,tnaA
2609,Bacteroides-rodentium-JCM-16496-MAF-2,tnaA
2610,Bacteroides-sp-D2-MAF-2,tnaA
2611,Bacteroides-stercoris-ATCC-43183-MAF-2,tnaA
2612,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,tnaA
2613,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,tnaA
2614,Bacteroides-uniformis-ATCC-8492-MAF-2,tnaA
2615,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,tnaA
2616,Bacteroides_ovatus,tnaA
2617,Bacteroides_thetaiotaomicron,tnaA
2618,Butyricimonas-virosa-DSM-23226-MAF-2,tnaA
2619,Enterocloster-asparagiformis-DSM-15981-MAF-2,tnaA
2620,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,tnaA
2621,Escherichia_coli,tnaA
2622,Tyzzerella-nexilis-DSM-1787-MAF-2,tnaA
