X,strain,pHMM
466,Alistipes-indistinctus-YIT-12060-MAF-2,cysKcustom
471,Alistipes-onderdonkii-DSM-19147-MAF-2,cysKcustom
473,Alistipes-putredinis-DSM-17216-MAF-2,cysKcustom
476,Alistipes-senegalensis-JC50-MAF-2,cysKcustom
479,Alistipes-shahii-WAL-8301-MAF-2,cysKcustom
481,Anaerobutyricum_hallii,cysKcustom
487,Anaerostipes-caccae-DSM-14662-MAF-2,cysKcustom
495,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysKcustom
502,Bacteroides-caccae-ATCC-43185-MAF-2,cysKcustom
506,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysKcustom
511,Bacteroides-coprophilus-DSM-18228-MAF-2,cysKcustom
514,Bacteroides-dorei-5-1-36-D4-MAF-2,cysKcustom
519,Bacteroides-dorei-DSM-17855-MAF-2,cysKcustom
523,Bacteroides-eggerthii-DSM-20697-MAF-2,cysKcustom
527,Bacteroides-finegoldii-DSM-17565-MAF-2,cysKcustom
531,Bacteroides-fragilis-2-1-16-MAF-2,cysKcustom
535,Bacteroides-fragilis-3-1-12-MAF-2,cysKcustom
540,Bacteroides-intestinalis-DSM-17393-MAF-2,cysKcustom
544,Bacteroides-ovatus-ATCC-8483-MAF-2,cysKcustom
548,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysKcustom
551,Bacteroides-plebeius-DSM-17135-MAF-2,cysKcustom
555,Bacteroides-rodentium-JCM-16496-MAF-2,cysKcustom
559,Bacteroides-sp-3-1-19-MAF-2,cysKcustom
563,Bacteroides-sp-9-1-42FAA-MAF-2,cysKcustom
567,Bacteroides-sp-D2-MAF-2,cysKcustom
571,Bacteroides-stercoris-ATCC-43183-MAF-2,cysKcustom
575,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysKcustom
579,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysKcustom
583,Bacteroides-uniformis-ATCC-8492-MAF-2,cysKcustom
587,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysKcustom
591,Bacteroides_fragilis,cysKcustom
595,Bacteroides_ovatus,cysKcustom
599,Bacteroides_thetaiotaomicron,cysKcustom
603,Bifidobacterium-adolescentis-L2-32-MAF-2,cysKcustom
607,Bifidobacterium_adolescentis,cysKcustom
611,Bifidobacterium_longum,cysKcustom
615,Blautia-hansenii-DSM-20583-MAF-2,cysKcustom
617,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysKcustom
623,Blautia-obeum-ATCC-29174-MAF-2,cysKcustom
627,Blautia-sp-KLE-1732-MAF-2,cysKcustom
630,Blautia-wexlerae-DSM-19850-MAF-2,cysKcustom
634,Butyricimonas-virosa-DSM-23226-MAF-2,cysKcustom
635,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysKcustom
642,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysKcustom
646,Clostridium-scindens-ATCC-35704-MAF-2,cysKcustom
652,Clostridium-sp-M62-1-MAF-2,cysKcustom
657,Clostridium-spiroforme-DSM-1552-MAF-2,cysKcustom
660,Collinsella-stercoris-DSM-13279-MAF-2,cysKcustom
661,Collinsella_aerofaciens,cysKcustom
663,Coprococcus-comes-ATCC-27758-MAF-2,cysKcustom
666,Coprococcus-eutactus-ATCC-27759-MAF-2,cysKcustom
671,Desulfovibrio_piger,cysKcustom
676,Dorea-formicigenerans-ATCC-27755-MAF-2,cysKcustom
678,Dorea-longicatena-DSM-13814-MAF-2,cysKcustom
680,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysKcustom
689,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysKcustom
699,Escherichia_coli,cysKcustom
707,Eubacterium-siraeum-DSM-15702-MAF-2,cysKcustom
710,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysKcustom
713,Eubacterium_eligens,cysKcustom
717,Eubacterium_rectale,cysKcustom
722,Faecalibacterium_prausnitzii,cysKcustom
726,Granulicatella-adiacens-ATCC-49175-MAF-2,cysKcustom
728,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysKcustom
734,Lachnospira-eligens-ATCC-27750-MAF-2,cysKcustom
738,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysKcustom
740,Lactococcus-lactis-IL1403-MAF-2,cysKcustom
744,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysKcustom
749,Megasphaera-elsdenii-14-14-MAF-2,cysKcustom
753,Mitsuokella-multacida-DSM-20544-MAF-2,cysKcustom
757,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysKcustom
760,Parabacteroides-merdae-ATCC-43184-MAF-2,cysKcustom
763,Parabacteroides-sp-D13-MAF-2,cysKcustom
767,Phocaeicola_vulgatus,cysKcustom
771,Prevotella-buccalis-ATCC-35310-MAF-2,cysKcustom
773,Prevotella-copri-DSM-18205-MAF-2,cysKcustom
778,Roseburia-intestinalis-L1-82-MAF-2,cysKcustom
783,Roseburia_intestinalis,cysKcustom
788,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysKcustom
794,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysKcustom
797,Ruminococcus-torques-ATCC-27756-MAF-2,cysKcustom
801,Ruminococcus_bromii,cysKcustom
805,Streptococcus-thermophilus-LMD-9-MAF-2,cysKcustom
809,Subdoligranulum-variabile-DSM-15176-MAF-2,cysKcustom
813,Tyzzerella-nexilis-DSM-1787-MAF-2,cysKcustom
817,Veillonella-sp-3-1-44-MAF-2,cysKcustom
823,Veillonella-sp-6-1-27-MAF-2,cysKcustom
829,Acidaminococcus-intestini-D21-MAF-2,cysM
833,Akkermansia_muciniphila,cysM
840,Alistipes-ihumii-AP11-MAF-2,cysM
843,Alistipes-indistinctus-YIT-12060-MAF-2,cysM
849,Alistipes-onderdonkii-DSM-19147-MAF-2,cysM
852,Alistipes-putredinis-DSM-17216-MAF-2,cysM
854,Alistipes-senegalensis-JC50-MAF-2,cysM
860,Alistipes-shahii-WAL-8301-MAF-2,cysM
863,Anaerobutyricum_hallii,cysM
870,Anaerostipes-caccae-DSM-14662-MAF-2,cysM
877,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysM
882,Bacteroides-caccae-ATCC-43185-MAF-2,cysM
888,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysM
894,Bacteroides-coprophilus-DSM-18228-MAF-2,cysM
899,Bacteroides-dorei-5-1-36-D4-MAF-2,cysM
906,Bacteroides-dorei-DSM-17855-MAF-2,cysM
913,Bacteroides-eggerthii-DSM-20697-MAF-2,cysM
919,Bacteroides-finegoldii-DSM-17565-MAF-2,cysM
926,Bacteroides-fragilis-2-1-16-MAF-2,cysM
932,Bacteroides-fragilis-3-1-12-MAF-2,cysM
939,Bacteroides-intestinalis-DSM-17393-MAF-2,cysM
945,Bacteroides-ovatus-ATCC-8483-MAF-2,cysM
952,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysM
957,Bacteroides-plebeius-DSM-17135-MAF-2,cysM
965,Bacteroides-rodentium-JCM-16496-MAF-2,cysM
971,Bacteroides-sp-3-1-19-MAF-2,cysM
977,Bacteroides-sp-9-1-42FAA-MAF-2,cysM
984,Bacteroides-sp-D2-MAF-2,cysM
991,Bacteroides-stercoris-ATCC-43183-MAF-2,cysM
996,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysM
1003,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysM
1010,Bacteroides-uniformis-ATCC-8492-MAF-2,cysM
1016,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysM
1023,Bacteroides_fragilis,cysM
1029,Bacteroides_ovatus,cysM
1036,Bacteroides_thetaiotaomicron,cysM
1043,Bifidobacterium-adolescentis-L2-32-MAF-2,cysM
1047,Bifidobacterium_adolescentis,cysM
1051,Bifidobacterium_longum,cysM
1055,Blautia-hansenii-DSM-20583-MAF-2,cysM
1058,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysM
1067,Blautia-obeum-ATCC-29174-MAF-2,cysM
1072,Blautia-sp-KLE-1732-MAF-2,cysM
1078,Blautia-wexlerae-DSM-19850-MAF-2,cysM
1083,Butyricimonas-virosa-DSM-23226-MAF-2,cysM
1084,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysM
1090,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysM
1093,Clostridium-scindens-ATCC-35704-MAF-2,cysM
1099,Clostridium-sp-M62-1-MAF-2,cysM
1103,Clostridium-spiroforme-DSM-1552-MAF-2,cysM
1107,Collinsella-stercoris-DSM-13279-MAF-2,cysM
1108,Collinsella_aerofaciens,cysM
1109,Coprococcus-comes-ATCC-27758-MAF-2,cysM
1113,Coprococcus-eutactus-ATCC-27759-MAF-2,cysM
1120,Desulfovibrio_piger,cysM
1125,Dorea-formicigenerans-ATCC-27755-MAF-2,cysM
1128,Dorea-longicatena-DSM-13814-MAF-2,cysM
1131,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysM
1140,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysM
1152,Escherichia_coli,cysM
1159,Eubacterium-siraeum-DSM-15702-MAF-2,cysM
1162,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysM
1167,Eubacterium_eligens,cysM
1173,Eubacterium_rectale,cysM
1179,Faecalibacterium_prausnitzii,cysM
1184,Granulicatella-adiacens-ATCC-49175-MAF-2,cysM
1185,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysM
1191,Lachnospira-eligens-ATCC-27750-MAF-2,cysM
1197,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysM
1200,Lactococcus-lactis-IL1403-MAF-2,cysM
1208,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysM
1215,Megasphaera-elsdenii-14-14-MAF-2,cysM
1221,Mitsuokella-multacida-DSM-20544-MAF-2,cysM
1226,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysM
1231,Parabacteroides-merdae-ATCC-43184-MAF-2,cysM
1236,Parabacteroides-sp-D13-MAF-2,cysM
1242,Phocaeicola_vulgatus,cysM
1248,Prevotella-buccalis-ATCC-35310-MAF-2,cysM
1250,Prevotella-copri-DSM-18205-MAF-2,cysM
1255,Roseburia-intestinalis-L1-82-MAF-2,cysM
1261,Roseburia_intestinalis,cysM
1267,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysM
1276,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysM
1281,Ruminococcus-torques-ATCC-27756-MAF-2,cysM
1287,Ruminococcus_bromii,cysM
1292,Streptococcus-thermophilus-LMD-9-MAF-2,cysM
1296,Subdoligranulum-variabile-DSM-15176-MAF-2,cysM
1300,Tyzzerella-nexilis-DSM-1787-MAF-2,cysM
1306,Veillonella-sp-3-1-44-MAF-2,cysM
1312,Veillonella-sp-6-1-27-MAF-2,cysM
1318,Acidaminococcus-intestini-D21-MAF-2,cysMcustom
1322,Akkermansia_muciniphila,cysMcustom
1329,Alistipes-ihumii-AP11-MAF-2,cysMcustom
1332,Alistipes-indistinctus-YIT-12060-MAF-2,cysMcustom
1338,Alistipes-onderdonkii-DSM-19147-MAF-2,cysMcustom
1341,Alistipes-putredinis-DSM-17216-MAF-2,cysMcustom
1343,Alistipes-senegalensis-JC50-MAF-2,cysMcustom
1348,Alistipes-shahii-WAL-8301-MAF-2,cysMcustom
1351,Anaerobutyricum_hallii,cysMcustom
1360,Anaerostipes-caccae-DSM-14662-MAF-2,cysMcustom
1368,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysMcustom
1376,Bacteroides-caccae-ATCC-43185-MAF-2,cysMcustom
1382,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysMcustom
1388,Bacteroides-coprophilus-DSM-18228-MAF-2,cysMcustom
1393,Bacteroides-dorei-5-1-36-D4-MAF-2,cysMcustom
1401,Bacteroides-dorei-DSM-17855-MAF-2,cysMcustom
1408,Bacteroides-eggerthii-DSM-20697-MAF-2,cysMcustom
1414,Bacteroides-finegoldii-DSM-17565-MAF-2,cysMcustom
1420,Bacteroides-fragilis-2-1-16-MAF-2,cysMcustom
1427,Bacteroides-fragilis-3-1-12-MAF-2,cysMcustom
1435,Bacteroides-intestinalis-DSM-17393-MAF-2,cysMcustom
1441,Bacteroides-ovatus-ATCC-8483-MAF-2,cysMcustom
1447,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysMcustom
1452,Bacteroides-plebeius-DSM-17135-MAF-2,cysMcustom
1459,Bacteroides-rodentium-JCM-16496-MAF-2,cysMcustom
1465,Bacteroides-sp-3-1-19-MAF-2,cysMcustom
1471,Bacteroides-sp-9-1-42FAA-MAF-2,cysMcustom
1477,Bacteroides-sp-D2-MAF-2,cysMcustom
1483,Bacteroides-stercoris-ATCC-43183-MAF-2,cysMcustom
1488,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysMcustom
1494,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysMcustom
1500,Bacteroides-uniformis-ATCC-8492-MAF-2,cysMcustom
1506,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysMcustom
1512,Bacteroides_fragilis,cysMcustom
1519,Bacteroides_ovatus,cysMcustom
1525,Bacteroides_thetaiotaomicron,cysMcustom
1531,Bifidobacterium-adolescentis-L2-32-MAF-2,cysMcustom
1536,Bifidobacterium_adolescentis,cysMcustom
1541,Bifidobacterium_longum,cysMcustom
1546,Blautia-hansenii-DSM-20583-MAF-2,cysMcustom
1550,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysMcustom
1560,Blautia-obeum-ATCC-29174-MAF-2,cysMcustom
1566,Blautia-sp-KLE-1732-MAF-2,cysMcustom
1571,Blautia-wexlerae-DSM-19850-MAF-2,cysMcustom
1577,Butyricimonas-virosa-DSM-23226-MAF-2,cysMcustom
1578,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysMcustom
1586,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysMcustom
1591,Clostridium-scindens-ATCC-35704-MAF-2,cysMcustom
1598,Clostridium-sp-M62-1-MAF-2,cysMcustom
1604,Clostridium-spiroforme-DSM-1552-MAF-2,cysMcustom
1608,Collinsella-stercoris-DSM-13279-MAF-2,cysMcustom
1611,Collinsella_aerofaciens,cysMcustom
1614,Coprococcus-comes-ATCC-27758-MAF-2,cysMcustom
1619,Coprococcus-eutactus-ATCC-27759-MAF-2,cysMcustom
1628,Desulfovibrio_piger,cysMcustom
1635,Dorea-formicigenerans-ATCC-27755-MAF-2,cysMcustom
1640,Dorea-longicatena-DSM-13814-MAF-2,cysMcustom
1643,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysMcustom
1655,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysMcustom
1668,Escherichia_coli,cysMcustom
1679,Eubacterium-siraeum-DSM-15702-MAF-2,cysMcustom
1684,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysMcustom
1690,Eubacterium_eligens,cysMcustom
1696,Eubacterium_rectale,cysMcustom
1702,Faecalibacterium_prausnitzii,cysMcustom
1707,Granulicatella-adiacens-ATCC-49175-MAF-2,cysMcustom
1710,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysMcustom
1719,Lachnospira-eligens-ATCC-27750-MAF-2,cysMcustom
1725,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysMcustom
1728,Lactococcus-lactis-IL1403-MAF-2,cysMcustom
1735,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysMcustom
1742,Megasphaera-elsdenii-14-14-MAF-2,cysMcustom
1749,Mitsuokella-multacida-DSM-20544-MAF-2,cysMcustom
1755,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysMcustom
1760,Parabacteroides-merdae-ATCC-43184-MAF-2,cysMcustom
1765,Parabacteroides-sp-D13-MAF-2,cysMcustom
1771,Phocaeicola_vulgatus,cysMcustom
1778,Prevotella-buccalis-ATCC-35310-MAF-2,cysMcustom
1781,Prevotella-copri-DSM-18205-MAF-2,cysMcustom
1788,Roseburia-intestinalis-L1-82-MAF-2,cysMcustom
1795,Roseburia_intestinalis,cysMcustom
1802,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysMcustom
1811,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysMcustom
1816,Ruminococcus-torques-ATCC-27756-MAF-2,cysMcustom
1823,Ruminococcus_bromii,cysMcustom
1829,Streptococcus-thermophilus-LMD-9-MAF-2,cysMcustom
1835,Subdoligranulum-variabile-DSM-15176-MAF-2,cysMcustom
1842,Tyzzerella-nexilis-DSM-1787-MAF-2,cysMcustom
1849,Veillonella-sp-3-1-44-MAF-2,cysMcustom
1855,Veillonella-sp-6-1-27-MAF-2,cysMcustom
1861,Acidaminococcus-intestini-D21-MAF-2,lcd
1862,Akkermansia_muciniphila,lcd
1865,Alistipes-ihumii-AP11-MAF-2,lcd
1866,Alistipes-indistinctus-YIT-12060-MAF-2,lcd
1868,Alistipes-onderdonkii-DSM-19147-MAF-2,lcd
1869,Alistipes-putredinis-DSM-17216-MAF-2,lcd
1871,Alistipes-senegalensis-JC50-MAF-2,lcd
1872,Alistipes-shahii-WAL-8301-MAF-2,lcd
1873,Anaerobutyricum_hallii,lcd
1879,Anaerostipes-caccae-DSM-14662-MAF-2,lcd
1884,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcd
1888,Bacteroides-caccae-ATCC-43185-MAF-2,lcd
1892,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcd
1897,Bacteroides-coprophilus-DSM-18228-MAF-2,lcd
1899,Bacteroides-dorei-5-1-36-D4-MAF-2,lcd
1902,Bacteroides-dorei-DSM-17855-MAF-2,lcd
1905,Bacteroides-eggerthii-DSM-20697-MAF-2,lcd
1907,Bacteroides-finegoldii-DSM-17565-MAF-2,lcd
1913,Bacteroides-fragilis-2-1-16-MAF-2,lcd
1917,Bacteroides-fragilis-3-1-12-MAF-2,lcd
1921,Bacteroides-intestinalis-DSM-17393-MAF-2,lcd
1924,Bacteroides-ovatus-ATCC-8483-MAF-2,lcd
1928,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcd
1930,Bacteroides-plebeius-DSM-17135-MAF-2,lcd
1934,Bacteroides-rodentium-JCM-16496-MAF-2,lcd
1936,Bacteroides-sp-3-1-19-MAF-2,lcd
1939,Bacteroides-sp-9-1-42FAA-MAF-2,lcd
1942,Bacteroides-sp-D2-MAF-2,lcd
1946,Bacteroides-stercoris-ATCC-43183-MAF-2,lcd
1949,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcd
1953,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcd
1957,Bacteroides-uniformis-ATCC-8492-MAF-2,lcd
1960,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcd
1963,Bacteroides_fragilis,lcd
1967,Bacteroides_ovatus,lcd
1971,Bacteroides_thetaiotaomicron,lcd
1975,Bifidobacterium-adolescentis-L2-32-MAF-2,lcd
1977,Bifidobacterium_adolescentis,lcd
1979,Bifidobacterium_longum,lcd
1981,Blautia-hansenii-DSM-20583-MAF-2,lcd
1985,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcd
1989,Blautia-obeum-ATCC-29174-MAF-2,lcd
1992,Blautia-sp-KLE-1732-MAF-2,lcd
1995,Blautia-wexlerae-DSM-19850-MAF-2,lcd
1997,Butyricimonas-virosa-DSM-23226-MAF-2,lcd
2000,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcd
2003,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcd
2005,Clostridium-scindens-ATCC-35704-MAF-2,lcd
2009,Clostridium-sp-M62-1-MAF-2,lcd
2011,Clostridium-spiroforme-DSM-1552-MAF-2,lcd
2014,Collinsella-stercoris-DSM-13279-MAF-2,lcd
2019,Collinsella_aerofaciens,lcd
2021,Coprococcus-comes-ATCC-27758-MAF-2,lcd
2024,Coprococcus-eutactus-ATCC-27759-MAF-2,lcd
2026,Desulfovibrio_piger,lcd
2027,Dorea-formicigenerans-ATCC-27755-MAF-2,lcd
2030,Dorea-longicatena-DSM-13814-MAF-2,lcd
2035,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcd
2041,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcd
2045,Escherichia_coli,lcd
2050,Eubacterium-siraeum-DSM-15702-MAF-2,lcd
2052,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcd
2056,Eubacterium_eligens,lcd
2059,Eubacterium_rectale,lcd
2062,Faecalibacterium_prausnitzii,lcd
2067,Granulicatella-adiacens-ATCC-49175-MAF-2,lcd
2070,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcd
2073,Lachnospira-eligens-ATCC-27750-MAF-2,lcd
2076,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcd
2079,Lactococcus-lactis-IL1403-MAF-2,lcd
2081,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcd
2082,Megasphaera-elsdenii-14-14-MAF-2,lcd
2086,Mitsuokella-multacida-DSM-20544-MAF-2,lcd
2090,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcd
2093,Parabacteroides-merdae-ATCC-43184-MAF-2,lcd
2096,Parabacteroides-sp-D13-MAF-2,lcd
2099,Phocaeicola_vulgatus,lcd
2102,Prevotella-buccalis-ATCC-35310-MAF-2,lcd
2105,Prevotella-copri-DSM-18205-MAF-2,lcd
2107,Roseburia-intestinalis-L1-82-MAF-2,lcd
2112,Roseburia_intestinalis,lcd
2117,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcd
2122,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcd
2124,Ruminococcus-torques-ATCC-27756-MAF-2,lcd
2126,Ruminococcus_bromii,lcd
2129,Streptococcus-thermophilus-LMD-9-MAF-2,lcd
2133,Subdoligranulum-variabile-DSM-15176-MAF-2,lcd
2136,Tyzzerella-nexilis-DSM-1787-MAF-2,lcd
2140,Veillonella-sp-3-1-44-MAF-2,lcd
2142,Veillonella-sp-6-1-27-MAF-2,lcd
2144,Acidaminococcus-intestini-D21-MAF-2,lcdcustom
2145,Akkermansia_muciniphila,lcdcustom
2148,Alistipes-ihumii-AP11-MAF-2,lcdcustom
2150,Alistipes-indistinctus-YIT-12060-MAF-2,lcdcustom
2153,Alistipes-onderdonkii-DSM-19147-MAF-2,lcdcustom
2155,Alistipes-putredinis-DSM-17216-MAF-2,lcdcustom
