,strain,gene,hit_score
169,Bacteroides-intestinalis-DSM-17393-MAF-2,malYcustom,601.3
170,Bacteroides-intestinalis-DSM-17393-MAF-2,metCcustom,398.8
171,Bacteroides-intestinalis-DSM-17393-MAF-2,tnaA,851.6
172,Bacteroides-ovatus-ATCC-8483-MAF-2,cysKcustom,543.0
173,Bacteroides-ovatus-ATCC-8483-MAF-2,cysMcustom,360.5
174,Bacteroides-ovatus-ATCC-8483-MAF-2,lcdcustom,87.6
175,Bacteroides-ovatus-ATCC-8483-MAF-2,malYcustom,594.4
176,Bacteroides-ovatus-ATCC-8483-MAF-2,metCcustom,412.7
177,Bacteroides-ovatus-ATCC-8483-MAF-2,tnaA,851.9
178,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysKcustom,533.8
179,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysMcustom,363.2
180,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcdcustom,51.9
181,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malYcustom,217.4
182,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metCcustom,396.3
183,Bacteroides-plebeius-DSM-17135-MAF-2,cysKcustom,535.4
184,Bacteroides-plebeius-DSM-17135-MAF-2,cysMcustom,365.4
185,Bacteroides-plebeius-DSM-17135-MAF-2,lcdcustom,104.2
186,Bacteroides-plebeius-DSM-17135-MAF-2,malYcustom,601.2
187,Bacteroides-plebeius-DSM-17135-MAF-2,metCcustom,396.0
188,Bacteroides-rodentium-JCM-16496-MAF-2,cysKcustom,558.2
189,Bacteroides-rodentium-JCM-16496-MAF-2,cysMcustom,367.9
190,Bacteroides-rodentium-JCM-16496-MAF-2,lcdcustom,97.6
191,Bacteroides-rodentium-JCM-16496-MAF-2,malYcustom,591.5
192,Bacteroides-rodentium-JCM-16496-MAF-2,metCcustom,404.3
193,Bacteroides-rodentium-JCM-16496-MAF-2,tnaA,860.4
194,Bacteroides-sp-3-1-19-MAF-2,cysKcustom,545.7
195,Bacteroides-sp-3-1-19-MAF-2,cysMcustom,358.6
196,Bacteroides-sp-3-1-19-MAF-2,lcdcustom,96.5
197,Bacteroides-sp-3-1-19-MAF-2,malYcustom,590.7
198,Bacteroides-sp-3-1-19-MAF-2,metCcustom,389.2
199,Bacteroides-sp-9-1-42FAA-MAF-2,cysKcustom,534.4
200,Bacteroides-sp-9-1-42FAA-MAF-2,cysMcustom,357.7
201,Bacteroides-sp-9-1-42FAA-MAF-2,lcdcustom,93.8
202,Bacteroides-sp-9-1-42FAA-MAF-2,malYcustom,603.7
203,Bacteroides-sp-9-1-42FAA-MAF-2,metCcustom,407.0
204,Bacteroides-sp-D2-MAF-2,cysKcustom,542.9
205,Bacteroides-sp-D2-MAF-2,cysMcustom,360.8
206,Bacteroides-sp-D2-MAF-2,lcdcustom,87.1
207,Bacteroides-sp-D2-MAF-2,malYcustom,573.2
208,Bacteroides-sp-D2-MAF-2,metCcustom,412.7
209,Bacteroides-sp-D2-MAF-2,tnaA,850.8
210,Bacteroides-stercoris-ATCC-43183-MAF-2,cysKcustom,545.5
211,Bacteroides-stercoris-ATCC-43183-MAF-2,cysMcustom,361.5
212,Bacteroides-stercoris-ATCC-43183-MAF-2,lcdcustom,92.4
213,Bacteroides-stercoris-ATCC-43183-MAF-2,malYcustom,578.3
214,Bacteroides-stercoris-ATCC-43183-MAF-2,metCcustom,407.0
215,Bacteroides-stercoris-ATCC-43183-MAF-2,tnaA,855.8
216,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysKcustom,546.2
217,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysMcustom,362.6
218,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcdcustom,77.7
219,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malYcustom,600.4
220,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metCcustom,408.2
221,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,tnaA,855.4
222,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysKcustom,546.8
223,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysMcustom,363.6
224,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcdcustom,77.7
225,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malYcustom,600.4
226,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metCcustom,410.4
227,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,tnaA,854.5
228,Bacteroides-uniformis-ATCC-8492-MAF-2,cysKcustom,555.4
229,Bacteroides-uniformis-ATCC-8492-MAF-2,cysMcustom,367.5
230,Bacteroides-uniformis-ATCC-8492-MAF-2,lcdcustom,99.4
231,Bacteroides-uniformis-ATCC-8492-MAF-2,malYcustom,593.7
232,Bacteroides-uniformis-ATCC-8492-MAF-2,metCcustom,401.6
233,Bacteroides-uniformis-ATCC-8492-MAF-2,tnaA,857.2
234,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysKcustom,543.8
235,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysMcustom,362.5
236,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcdcustom,85.7
237,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malYcustom,589.3
238,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metCcustom,412.7
239,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,tnaA,853.6
240,Bacteroides_acidifaciens,cysKcustom,538.3
241,Bacteroides_acidifaciens,cysMcustom,359.8
242,Bacteroides_acidifaciens,lcdcustom,82.2
243,Bacteroides_acidifaciens,malYcustom,576.9
244,Bacteroides_acidifaciens,metCcustom,414.6
245,Bacteroides_acidifaciens,tnaA,856.5
246,Bacteroides_clarus,cysKcustom,553.4
247,Bacteroides_clarus,cysMcustom,363.8
248,Bacteroides_clarus,lcdcustom,90.6
249,Bacteroides_clarus,malYcustom,590.5
250,Bacteroides_clarus,metCcustom,400.5
251,Bacteroides_clarus,tnaA,854.8
252,Bacteroides_faecis,cysKcustom,546.2
253,Bacteroides_faecis,cysMcustom,367.0
254,Bacteroides_faecis,lcdcustom,77.8
255,Bacteroides_faecis,malYcustom,594.7
256,Bacteroides_faecis,metCcustom,410.4
257,Bacteroides_faecis,tnaA,854.2
258,Bacteroides_fragilis,cysKcustom,539.9
259,Bacteroides_fragilis,cysMcustom,362.4
260,Bacteroides_fragilis,lcdcustom,95.6
261,Bacteroides_fragilis,malYcustom,573.5
262,Bacteroides_fragilis,metCcustom,398.1
263,Bacteroides_gallinarum,cysKcustom,539.9
264,Bacteroides_gallinarum,cysMcustom,361.8
265,Bacteroides_gallinarum,lcdcustom,100.6
266,Bacteroides_gallinarum,malYcustom,569.6
267,Bacteroides_gallinarum,metCcustom,407.8
268,Bacteroides_gallinarum,tnaA,856.2
269,Bacteroides_nordii,cysKcustom,545.3
270,Bacteroides_nordii,cysMcustom,363.5
271,Bacteroides_nordii,lcdcustom,88.2
272,Bacteroides_nordii,malYcustom,596.4
273,Bacteroides_nordii,metCcustom,361.2
274,Bacteroides_nordii,tnaA,851.8
275,Bacteroides_salanitronis,cysKcustom,528.0
276,Bacteroides_salanitronis,cysMcustom,365.1
277,Bacteroides_salanitronis,lcdcustom,104.1
278,Bacteroides_salanitronis,malYcustom,586.3
279,Bacteroides_salanitronis,metCcustom,369.5
280,Bacteroides_salyersiae,cysKcustom,549.0
281,Bacteroides_salyersiae,cysMcustom,364.6
282,Bacteroides_salyersiae,lcdcustom,83.8
283,Bacteroides_salyersiae,malYcustom,596.6
284,Bacteroides_salyersiae,metCcustom,361.9
285,Bacteroides_salyersiae,tnaA,853.5
286,Bacteroides_thetaiotaomicron,cysKcustom,546.8
287,Bacteroides_thetaiotaomicron,cysMcustom,363.6
288,Bacteroides_thetaiotaomicron,lcdcustom,77.7
289,Bacteroides_thetaiotaomicron,malYcustom,600.4
290,Bacteroides_thetaiotaomicron,metCcustom,410.4
291,Bacteroides_thetaiotaomicron,tnaA,854.5
292,Barnesiella_intestinihominis,cysKcustom,533.9
293,Barnesiella_intestinihominis,cysMcustom,365.2
294,Barnesiella_intestinihominis,lcdcustom,90.9
295,Barnesiella_intestinihominis,malYcustom,561.2
296,Barnesiella_intestinihominis,metCcustom,421.5
297,Bavariicoccus_seileri,cysKcustom,92.0
298,Bavariicoccus_seileri,cysMcustom,90.4
299,Bavariicoccus_seileri,lcdcustom,62.7
300,Bavariicoccus_seileri,malYcustom,529.9
301,Bavariicoccus_seileri,metCcustom,512.4
302,Bifidobacterium-adolescentis-L2-32-MAF-2,cysKcustom,419.9
303,Bifidobacterium-adolescentis-L2-32-MAF-2,cysMcustom,310.8
304,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdcustom,36.5
305,Bifidobacterium-adolescentis-L2-32-MAF-2,malYcustom,528.8
306,Bifidobacterium-adolescentis-L2-32-MAF-2,metCcustom,486.9
307,Bifidobacterium_adolescentis,cysKcustom,420.6
308,Bifidobacterium_adolescentis,cysMcustom,315.0
309,Bifidobacterium_adolescentis,lcdcustom,33.6
310,Bifidobacterium_adolescentis,malYcustom,528.7
311,Bifidobacterium_adolescentis,metCcustom,486.9
312,Bifidobacterium_animalis,cysKcustom,400.6
313,Bifidobacterium_animalis,cysMcustom,303.9
314,Bifidobacterium_animalis,lcdcustom,35.0
315,Bifidobacterium_animalis,malYcustom,516.1
316,Bifidobacterium_animalis,metCcustom,482.9
317,Bifidobacterium_bifidum,cysKcustom,420.6
318,Bifidobacterium_bifidum,cysMcustom,315.3
319,Bifidobacterium_bifidum,lcdcustom,38.3
320,Bifidobacterium_bifidum,malYcustom,529.6
321,Bifidobacterium_bifidum,metCcustom,484.4
322,Bifidobacterium_breve,cysKcustom,408.4
323,Bifidobacterium_breve,cysMcustom,302.9
324,Bifidobacterium_breve,lcdcustom,95.2
325,Bifidobacterium_breve,malYcustom,530.2
326,Bifidobacterium_breve,metCcustom,489.1
327,Bifidobacterium_longum,cysKcustom,415.3
328,Bifidobacterium_longum,cysMcustom,307.7
329,Bifidobacterium_longum,lcdcustom,32.0
330,Bifidobacterium_longum,malYcustom,430.1
331,Bifidobacterium_longum,metCcustom,483.6
332,Bifidobacterium_pseudocatenulatum,cysKcustom,427.7
333,Bifidobacterium_pseudocatenulatum,cysMcustom,319.9
334,Bifidobacterium_pseudocatenulatum,lcdcustom,44.3
335,Bifidobacterium_pseudocatenulatum,malYcustom,530.6
336,Bifidobacterium_pseudocatenulatum,metCcustom,493.0
337,Bilophila_wadsworthia,cysKcustom,485.0
338,Bilophila_wadsworthia,cysMcustom,348.4
339,Bilophila_wadsworthia,lcdcustom,28.2
340,Bilophila_wadsworthia,malYcustom,231.1
341,Bilophila_wadsworthia,metCcustom,384.8
342,Blautia-hansenii-DSM-20583-MAF-2,cysKcustom,520.4
343,Blautia-hansenii-DSM-20583-MAF-2,cysMcustom,358.6
344,Blautia-hansenii-DSM-20583-MAF-2,lcdcustom,44.4
345,Blautia-hansenii-DSM-20583-MAF-2,malYcustom,505.8
346,Blautia-hansenii-DSM-20583-MAF-2,metCcustom,370.9
347,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysKcustom,525.5
348,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysMcustom,372.6
349,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcdcustom,44.9
350,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malYcustom,228.6
351,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metCcustom,393.4
352,Blautia-obeum-ATCC-29174-MAF-2,cysKcustom,543.3
353,Blautia-obeum-ATCC-29174-MAF-2,cysMcustom,366.6
354,Blautia-obeum-ATCC-29174-MAF-2,lcdcustom,41.9
355,Blautia-obeum-ATCC-29174-MAF-2,malYcustom,166.0
356,Blautia-obeum-ATCC-29174-MAF-2,metCcustom,389.1
357,Blautia-sp-KLE-1732-MAF-2,cysKcustom,556.9
358,Blautia-sp-KLE-1732-MAF-2,cysMcustom,376.5
359,Blautia-sp-KLE-1732-MAF-2,lcdcustom,39.6
360,Blautia-sp-KLE-1732-MAF-2,malYcustom,444.0
361,Blautia-sp-KLE-1732-MAF-2,metCcustom,398.3
362,Blautia-wexlerae-DSM-19850-MAF-2,cysKcustom,544.9
363,Blautia-wexlerae-DSM-19850-MAF-2,cysMcustom,368.1
364,Blautia-wexlerae-DSM-19850-MAF-2,lcdcustom,35.4
365,Blautia-wexlerae-DSM-19850-MAF-2,malYcustom,160.9
366,Blautia-wexlerae-DSM-19850-MAF-2,metCcustom,400.2
367,Blautia_luti,cysKcustom,539.0
368,Blautia_luti,cysMcustom,367.1
369,Blautia_luti,lcdcustom,38.8
370,Blautia_luti,malYcustom,428.8
371,Blautia_luti,metCcustom,400.2
372,Blautia_producta,cysKcustom,535.1
373,Blautia_producta,cysMcustom,368.6
374,Blautia_producta,lcdcustom,42.3
375,Blautia_producta,malYcustom,563.3
376,Blautia_producta,metCcustom,399.8
377,Brachymonas_chironomi,cysKcustom,465.6
378,Brachymonas_chironomi,cysMcustom,521.1
379,Brachymonas_chironomi,lcdcustom,33.1
380,Brachymonas_chironomi,malYcustom,170.2
381,Brachymonas_chironomi,metCcustom,466.8
382,Brachymonas_chironomi,tnaA,631.1
383,Butyricimonas-virosa-DSM-23226-MAF-2,cysKcustom,79.6
384,Butyricimonas-virosa-DSM-23226-MAF-2,cysMcustom,39.7
385,Butyricimonas-virosa-DSM-23226-MAF-2,lcdcustom,80.3
386,Butyricimonas-virosa-DSM-23226-MAF-2,malYcustom,560.5
387,Butyricimonas-virosa-DSM-23226-MAF-2,metCcustom,32.1
388,Butyricimonas-virosa-DSM-23226-MAF-2,tnaA,848.0
389,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysKcustom,538.9
390,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysMcustom,366.3
391,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcdcustom,38.1
392,Butyrivibrio-crossotus-DSM-2876-MAF-2,malYcustom,565.3
393,Butyrivibrio-crossotus-DSM-2876-MAF-2,metCcustom,395.6
394,Caldicoprobacter_faecalis,cysKcustom,564.9
395,Caldicoprobacter_faecalis,cysMcustom,371.6
396,Caldicoprobacter_faecalis,lcdcustom,43.3
397,Caldicoprobacter_faecalis,malYcustom,219.5
398,Caldicoprobacter_faecalis,metCcustom,534.6
399,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysKcustom,530.6
400,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysMcustom,365.8
401,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcdcustom,48.4
402,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malYcustom,574.9
403,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metCcustom,396.6
404,Citrobacter_pasteurii,cysKcustom,514.0
405,Citrobacter_pasteurii,cysMcustom,548.9
406,Citrobacter_pasteurii,lcdcustom,67.7
407,Citrobacter_pasteurii,malYcustom,537.1
408,Citrobacter_pasteurii,metCcustom,559.9
409,Citrobacter_pasteurii,tnaA,752.4
410,Clostridioides_difficile,cysKcustom,472.8
411,Clostridioides_difficile,cysMcustom,371.9
412,Clostridioides_difficile,lcdcustom,57.7
413,Clostridioides_difficile,malYcustom,592.9
414,Clostridioides_difficile,metCcustom,384.9
415,Clostridioides_difficile,tnaA,28.7
416,Clostridium-scindens-ATCC-35704-MAF-2,cysKcustom,531.6
417,Clostridium-scindens-ATCC-35704-MAF-2,cysMcustom,381.3
418,Clostridium-scindens-ATCC-35704-MAF-2,lcdcustom,49.2
419,Clostridium-scindens-ATCC-35704-MAF-2,malYcustom,432.2
420,Clostridium-scindens-ATCC-35704-MAF-2,metCcustom,387.4
421,Clostridium-sp-M62-1-MAF-2,cysKcustom,502.5
422,Clostridium-sp-M62-1-MAF-2,cysMcustom,351.0
423,Clostridium-sp-M62-1-MAF-2,lcdcustom,33.0
424,Clostridium-sp-M62-1-MAF-2,malYcustom,541.4
425,Clostridium-sp-M62-1-MAF-2,metCcustom,354.4
426,Clostridium-spiroforme-DSM-1552-MAF-2,cysKcustom,480.7
427,Clostridium-spiroforme-DSM-1552-MAF-2,cysMcustom,340.7
428,Clostridium-spiroforme-DSM-1552-MAF-2,lcdcustom,51.8
429,Clostridium-spiroforme-DSM-1552-MAF-2,malYcustom,513.2
430,Clostridium-spiroforme-DSM-1552-MAF-2,metCcustom,362.7
431,Collinsella-stercoris-DSM-13279-MAF-2,cysKcustom,518.3
432,Collinsella-stercoris-DSM-13279-MAF-2,cysMcustom,364.0
433,Collinsella-stercoris-DSM-13279-MAF-2,lcdcustom,57.9
434,Collinsella-stercoris-DSM-13279-MAF-2,malYcustom,417.4
